,ATELNO,Sources
26814,ATEL #12394,sn2019qc
26815,ATEL #12394,ztf19aacxrzt
26816,ATEL #12394,sn2019rm
26817,ATEL #12394,sn2019so
26818,ATEL #12394,sn2019qe
26819,ATEL #12394,atlas19bfk
26820,ATEL #12394,ztf19aacwljg
26821,ATEL #12394,asassn-19at
26822,ATEL #12395,grb190114c
26823,ATEL #12396,MAXI J1631-478
26824,ATEL #12396,pks1934-638
26825,ATEL #12396,MAXI J1631-479
26826,ATEL #12397,2MASX J05220008-0711330
26827,ATEL #12397,sn1998s
26828,ATEL #12397,atlas19bfd
26829,ATEL #12397,ugc3554
26830,ATEL #12397,sn2019rx
26831,ATEL #12397,sn2019rz
26832,ATEL #12397,asassn-19av
26833,ATEL #12398,MAXI J1810-222
26834,ATEL #12399,OT J004559.36+415629.7
26835,ATEL #12400,at2019th
26836,ATEL #12400,ztf19aabimbg
26837,ATEL #12401,4c+28.07
26838,ATEL #12401,3FGLJ0237.9+2848
26839,ATEL #12401,BZQJ0237+2848
26840,ATEL #12402,2FGLJ2347.9-1629
26841,ATEL #12402,pks2345-16
26842,ATEL #12403,pks2246+208
26843,ATEL #12403,m2
26844,ATEL #12403,TXS 2246+208
26845,ATEL #12404,atlas19bqg
26846,ATEL #12404,at2019va
26847,ATEL #12404,ugc08577
26848,ATEL #12405,ugc08577
26849,ATEL #12406,at2019vb
26850,ATEL #12406,ugc08317
26851,ATEL #12406,atlas19bqp
26852,ATEL #12407,atlas19bot
26853,ATEL #12407,sn2019ru
26854,ATEL #12407,sn2019tv
26855,ATEL #12407,atlas19bms
26856,ATEL #12408,OT 133514
26857,ATEL #12408,sn1999em
26858,ATEL #12408,atlas19bqg
26859,ATEL #12408,ugc8577
26860,ATEL #12408,at2019va
26861,ATEL #12409,atlas19bot
26862,ATEL #12409,sn2019ur
26863,ATEL #12409,sn2019tv
26864,ATEL #12409,atlas19bms
26865,ATEL #12409,sn2019ru
26866,ATEL #12410,at2019uo
26867,ATEL #12410,sn1998s
26868,ATEL #12411,sn2018gv
26869,ATEL #12411,sn2019np
26870,ATEL #12411,ngc3254
26871,ATEL #12411,sn2018pv
26872,ATEL #12411,sn2016coj
26873,ATEL #12412,OT J140216.0-533228
26874,ATEL #12414,m31
26875,ATEL #12414,PNV J00424503+4114248
26876,ATEL #12415,sn2018gv
26877,ATEL #12415,sn2019np
26878,ATEL #12415,ngc3254
26879,ATEL #12415,sn2018pv
26880,ATEL #12415,sn2016coj
26881,ATEL #12416,sn2019np
26882,ATEL #12417,at2019yw
26883,ATEL #12417,m31
26884,ATEL #12417,m31n2010-10b
26885,ATEL #12417,TCP J00430003+4118341
26886,ATEL #12418,MAXI J1631-479
26887,ATEL #12419,PGC 765812
26888,ATEL #12419,atlas19bvw
26889,ATEL #12419,at2019aax
26890,ATEL #12421,MAXI J1631-479
26891,ATEL #12422,sn2019aax
26892,ATEL #12422,atlas19bvw
